time,open,high,low,close,8day,Plot,Plot,Plot,Plot,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band
2019-10-20T21:00:00-03:00,175,177.89,171.87,174.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-10-21T21:00:00-03:00,174.24,175.13,170.34,171.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-10-22T21:00:00-03:00,171.24,171.53,153.36,162.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-10-23T21:00:00-03:00,162.34,163.5,158.44,161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-10-24T21:00:00-03:00,161.02,186.73,161,181.74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-10-25T21:00:00-03:00,182.39,196.94,174.2,180.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-10-26T21:00:00-03:00,180.19,188.94,105,184.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-10-27T21:00:00-03:00,184,189.86,180.84,182.01,174.6275,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-10-28T21:00:00-03:00,181.98,192.88,181.98,189.87,178.0147222,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-10-29T21:00:00-03:00,189.49,191.85,180.04,183.38,179.2070062,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-10-30T21:00:00-03:00,183.57,185.19,177.86,182.37,179.9098937,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-10-31T21:00:00-03:00,182.25,184.49,177.39,182.88,180.5699173,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-11-01T21:00:00-03:00,183.21,185.72,181.81,182.8,181.0654912,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-11-02T21:00:00-03:00,183,184.85,179.33,181.78,181.224271,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-11-03T21:00:00-03:00,181.74,188.58,180.61,186.11,182.3099885,NaN,NaN,NaN,NaN,59.32765152,NaN,NaN,NaN
2019-11-04T21:00:00-03:00,185.95,191.99,182.64,188.65,183.71888,NaN,NaN,NaN,NaN,61.01089335,NaN,NaN,NaN
2019-11-05T21:00:00-03:00,188.69,194.32,188.09,191.08,185.3546844,NaN,NaN,NaN,NaN,62.60535444,NaN,NaN,NaN
2019-11-06T21:00:00-03:00,191.2,191.99,184.49,186.44,185.5958657,NaN,NaN,NaN,NaN,57.7489884,NaN,NaN,NaN
2019-11-07T21:00:00-03:00,186.45,187.96,181,183.56,185.1434511,NaN,NaN,NaN,NaN,54.90223934,NaN,NaN,NaN
2019-11-08T21:00:00-03:00,183.57,185.54,182.47,185.04,185.1204619,181.049,NaN,NaN,NaN,56.09987434,NaN,NaN,NaN
