time,open,high,low,close,8day,Plot,Plot,Plot,Plot,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band
2019-09-18T21:00:00-03:00,9881.43,10305.58,9828.59,10254.92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-09-19T21:00:00-03:00,10214.31,10233.53,10078.91,10171.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-09-20T21:00:00-03:00,10169.44,10169.44,9940.27,9998.87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-09-21T21:00:00-03:00,9928.07,10050.12,9874.3,10010.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-09-22T21:00:00-03:00,10037.7,10037.7,9612.75,9706.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-09-23T21:00:00-03:00,9675.42,9783.1,1800,8499.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-09-24T21:00:00-03:00,8558.92,8728.04,8225.58,8436.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-09-25T21:00:00-03:00,8415.14,8461.31,7200,8067.78,9393.32375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-09-26T21:00:00-03:00,8067.78,8257.25,7853.53,8187.15,9125.285139,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-09-27T21:00:00-03:00,8187.15,8319.86,8016.75,8206.39,8921.086219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-09-28T21:00:00-03:00,8159.65,8167.83,7911.75,8064,8730.622615,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-09-29T21:00:00-03:00,8045.91,8346.43,7719.48,8263.5,8626.817589,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-09-30T21:00:00-03:00,8297.79,8503.08,8182.04,8308,8555.969236,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-10-01T21:00:00-03:00,8296.82,8378.05,8169,8368.29,8514.262739,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-10-02T21:00:00-03:00,8371.98,8400,8085.71,8237.25,8452.704353,NaN,NaN,NaN,NaN,15.53100837,NaN,NaN,NaN
2019-10-03T21:00:00-03:00,8232.01,8237.22,8013.23,8176.66,8391.361163,NaN,NaN,NaN,NaN,15.19230636,NaN,NaN,NaN
2019-10-04T21:00:00-03:00,8144.23,8190.52,8028.39,8118.26,8330.672016,NaN,NaN,NaN,NaN,14.85601399,NaN,NaN,NaN
2019-10-05T21:00:00-03:00,8130.94,8158.52,7793.53,7848.27,8223.471568,NaN,NaN,NaN,NaN,13.38128985,NaN,NaN,NaN
2019-10-06T21:00:00-03:00,7829.06,8290.04,7793.52,8237.68,8226.628997,NaN,NaN,NaN,NaN,24.95273185,NaN,NaN,NaN
2019-10-07T21:00:00-03:00,8217.83,8325.58,8114.65,8185.61,8217.513665,8667.3825,NaN,NaN,NaN,24.48177211,NaN,NaN,NaN
2019-10-08T21:00:00-03:00,8196.59,8662.59,8129.69,8581.34,8298.363961,8659.187976,NaN,NaN,NaN,34.58659125,NaN,NaN,NaN
2019-10-09T21:00:00-03:00,8587.06,8650.91,8458.53,8576,8360.060859,8651.265312,NaN,NaN,NaN,34.5194688,NaN,NaN,NaN
2019-10-10T21:00:00-03:00,8564.94,8798.63,8234.82,8261.18,8338.087335,8614.11433,NaN,NaN,NaN,30.73271762,NaN,NaN,NaN
2019-10-11T21:00:00-03:00,8267.51,8410.74,8261.76,8304.69,8330.665705,8584.645346,NaN,NaN,NaN,31.845496,NaN,NaN,NaN
2019-10-12T21:00:00-03:00,8302.89,8455.22,8159.96,8281.1,8319.651104,8555.736265,NaN,NaN,NaN,31.54956029,NaN,NaN,NaN
2019-10-13T21:00:00-03:00,8275.21,8388.71,8214.42,8352.73,8327.00197,8536.402335,NaN,NaN,NaN,33.56828239,NaN,NaN,NaN
2019-10-14T21:00:00-03:00,8352.74,8409.44,8100,8163.65,8290.701532,8500.902113,NaN,NaN,NaN,30.97170795,NaN,NaN,NaN
2019-10-15T21:00:00-03:00,8163.65,8178.48,7911.2,7999.98,8226.096747,8453.195245,NaN,NaN,NaN,28.88862439,26.0755408,NaN,NaN
2019-10-16T21:00:00-03:00,7999.49,8114.27,7939.55,8074.53,8192.415248,8417.131888,NaN,NaN,NaN,31.15978073,27.19188168,NaN,NaN
2019-10-17T21:00:00-03:00,8075.8,8119.87,7825.01,7952.4,8139.078526,8372.871709,NaN,NaN,NaN,29.49768774,28.21369464,NaN,NaN
2019-10-18T21:00:00-03:00,7953.87,8100,7880,7950.66,8097.207742,8332.66107,NaN,NaN,NaN,29.47356619,29.25780551,NaN,NaN
2019-10-19T21:00:00-03:00,7951.76,8316.2,7876.3,8232.05,8127.172689,8323.079063,NaN,NaN,NaN,38.26558562,31.03525521,NaN,NaN
2019-10-20T21:00:00-03:00,8232.22,8330,8153,8212.88,8146.218758,8312.583914,NaN,NaN,NaN,37.91877757,31.96140133,NaN,NaN
2019-10-21T21:00:00-03:00,8212.88,8300,8005,8027.83,8119.910145,8285.464494,NaN,NaN,NaN,34.65377843,32.68797321,NaN,NaN
2019-10-22T21:00:00-03:00,8026,8050.86,7299.66,7470.38,7975.570113,8207.837399,NaN,NaN,NaN,27.08727038,32.15230744,NaN,NaN
2019-10-23T21:00:00-03:00,7469.85,7510.48,7344.18,7424.77,7853.170088,8133.259552,NaN,NaN,NaN,26.57597376,31.58491493,NaN,NaN
2019-10-24T21:00:00-03:00,7422.75,8770,7392.81,8666.87,8033.99229,8184.079594,NaN,NaN,NaN,52.73914682,33.15680273,NaN,NaN
2019-10-25T21:00:00-03:00,8666.92,10350,8655,9250.53,8304.334004,8285.6463,NaN,NaN,NaN,59.9592369,35.16492708,NaN,NaN
2019-10-26T21:00:00-03:00,9248.83,9800,9095.83,9550.78,8581.322003,8406.135223,NaN,NaN,NaN,63.08364425,37.41736165,NaN,NaN
2019-10-27T21:00:00-03:00,9550.78,9928.09,9195,9224.16,8724.174891,8484.042345,NaN,NaN,NaN,57.79995523,39.14819543,NaN,NaN
2019-10-28T21:00:00-03:00,9219.37,9545.8,9100.01,9420.66,8878.94936,8573.244026,NaN,NaN,NaN,59.97209515,41.21965165,NaN,NaN
2019-10-29T21:00:00-03:00,9420.66,9426.31,9000,9155.44,8940.391724,8628.691262,NaN,NaN,NaN,55.79746726,43.14171186,NaN,NaN
2019-10-30T21:00:00-03:00,9168.41,9415.66,8950,9147.08,8986.322452,8678.061618,NaN,NaN,NaN,55.66593184,44.89215122,NaN,NaN
2019-10-31T21:00:00-03:00,9146.96,9289.99,9050.29,9231.53,9040.813018,8730.772892,NaN,NaN,NaN,56.77445998,46.8404921,NaN,NaN
2019-11-01T21:00:00-03:00,9239.96,9382.39,9200,9301.75,9098.799014,8785.151665,NaN,NaN,NaN,57.72108681,48.85817214,NaN,NaN
2019-11-02T21:00:00-03:00,9300.49,9371.31,9073.07,9199.53,9121.183678,8824.616268,NaN,NaN,NaN,55.80518747,50.11100085,NaN,NaN
2019-11-03T21:00:00-03:00,9205.31,9524.41,9125.68,9407.32,9184.769527,8880.111862,NaN,NaN,NaN,58.79896654,51.60244292,NaN,NaN
2019-11-04T21:00:00-03:00,9408.14,9466.52,9180,9315.62,9213.84741,8921.588827,NaN,NaN,NaN,56.96502241,53.1961032,NaN,NaN
2019-11-05T21:00:00-03:00,9315.74,9437.63,9254,9337.55,9241.336874,8961.204177,NaN,NaN,NaN,57.30796173,55.35472401,NaN,NaN
2019-11-06T21:00:00-03:00,9337.55,9365.38,9090,9207.51,9233.819791,8984.661874,8652.603,NaN,NaN,54.5328717,57.35164529,NaN,NaN
2019-11-07T21:00:00-03:00,9202.2,9240,8661.63,8768.56,9130.428727,8964.080743,8657.150333,NaN,NaN,46.37033538,56.89673019,NaN,NaN
2019-11-08T21:00:00-03:00,8766.68,8867.26,8718.28,8810.62,9059.360121,8949.465435,8663.168752,NaN,NaN,47.18607971,55.98436182,NaN,NaN
2019-11-09T21:00:00-03:00,8805,9125,8750,9040.02,9055.062316,8958.089679,8677.947232,NaN,NaN,51.51761435,55.15821683,NaN,NaN
2019-11-10T21:00:00-03:00,9040.46,9067.98,8611.99,8717.26,8979.995135,8935.153519,8679.488909,NaN,NaN,45.82319169,54.30273372,NaN,NaN
2019-11-11T21:00:00-03:00,8714.98,8850.51,8560.8,8795.45,8938.985105,8921.848422,8684.036403,NaN,NaN,47.34169935,53.40056259,NaN,NaN
2019-11-12T21:00:00-03:00,8795.46,8813.99,8700,8761.74,8899.597304,8906.600001,8687.083603,NaN,NaN,46.7335302,52.75313851,NaN,NaN
2019-11-13T21:00:00-03:00,8765.27,8780.8,8563.51,8629.52,8839.580125,8880.211429,8684.826207,NaN,NaN,44.32815266,51.94329714,NaN,NaN
2019-11-14T21:00:00-03:00,8629.47,8755,8376.71,8458.59,8754.915653,8840.057007,8675.954198,NaN,NaN,41.36411177,50.84255798,NaN,NaN
2019-11-15T21:00:00-03:00,8457.26,8523.35,8423.77,8475.14,8692.743286,8805.303007,8668.079132,NaN,NaN,41.77010143,49.70320189,NaN,NaN
2019-11-16T21:00:00-03:00,8480.67,8615,8367.16,8499.02,8649.693667,8776.133197,8661.449362,NaN,NaN,42.389929,48.74496914,NaN,NaN
2019-11-17T21:00:00-03:00,8499.82,8499.82,8041.31,8170.35,8543.172852,8718.439559,8642.190564,NaN,NaN,36.61330368,47.16027893,NaN,NaN
2019-11-18T21:00:00-03:00,8169.34,8192.02,8000,8119.08,8448.929996,8661.357696,8621.676424,NaN,NaN,35.79388053,45.64805451,NaN,NaN
2019-11-19T21:00:00-03:00,8119.08,8213.46,8023,8081.13,8367.196663,8606.097915,8600.478525,NaN,NaN,35.16649919,44.06652147,NaN,NaN
2019-11-20T21:00:00-03:00,8079.14,8110.92,7400,7617.85,8200.675183,8511.979066,8561.944073,NaN,NaN,28.58065509,42.21279172,NaN,NaN
2019-11-21T21:00:00-03:00,7616.87,7707.41,6789.75,7280.03,7996.087364,8394.650584,8511.672933,NaN,NaN,24.91633827,40.68036335,NaN,NaN
2019-11-22T21:00:00-03:00,7278.88,7345,7094.5,7315.93,7844.941283,8291.91529,8464.781053,NaN,NaN,26.00209871,39.16722185,NaN,NaN
2019-11-23T21:00:00-03:00,7326.39,7335.74,6868.99,6909.78,7637.127665,8160.283358,8403.80062,NaN,NaN,22.10717839,37.06647643,NaN,NaN
2019-11-24T21:00:00-03:00,6904.65,7368.38,6517.89,7122.01,7522.657073,8061.400181,8353.534321,NaN,NaN,28.16261793,35.80500687,NaN,NaN
2019-11-25T21:00:00-03:00,7116.77,7338.63,7021.43,7156.49,7441.286612,7975.218259,8306.591406,NaN,NaN,29.12661689,34.50392955,NaN,NaN
2019-11-26T21:00:00-03:00,7155.3,7657.01,6852,7524.93,7459.874032,7932.333663,8275.938018,NaN,NaN,38.60706122,33.92346748,NaN,NaN
2019-11-27T21:00:00-03:00,7518.98,7644.31,7349.99,7426.04,7452.355358,7884.115219,8242.608684,NaN,NaN,37.16989453,33.41216333,NaN,NaN
2019-11-28T21:00:00-03:00,7424.23,7855.17,7404.49,7746.69,7517.763056,7871.027103,8223.160892,NaN,NaN,44.39755642,33.62883795,NaN,NaN
2019-11-29T21:00:00-03:00,7742.98,7809.54,7456.61,7549.51,7524.817933,7840.406426,8196.74321,NaN,NaN,41.25473205,33.59202585,NaN,NaN
2019-11-30T21:00:00-03:00,7543.39,7543.39,7230,7396.02,7496.19617,7798.083909,8165.3423,NaN,NaN,38.94372917,33.34586872,NaN,NaN
2019-12-01T21:00:00-03:00,7400.73,7422.47,7165.62,7300.84,7452.783688,7750.727347,8131.440249,NaN,NaN,37.53941426,33.41201947,NaN,NaN
2019-12-02T21:00:00-03:00,7300.77,7401.05,7242.58,7295.26,7417.778424,7707.349504,8098.648867,NaN,NaN,37.45414352,33.53060969,NaN,NaN
2019-12-03T21:00:00-03:00,7294.76,7732.84,7082.1,7191.4,7367.472107,7658.211456,8063.07048,NaN,NaN,35.82306786,33.57750745,NaN,NaN
2019-12-04T21:00:00-03:00,7193.47,7483.96,7157.01,7389.8,7372.433861,7632.64846,8036.667716,NaN,NaN,41.09984451,34.47173527,NaN,NaN
2019-12-05T21:00:00-03:00,7391.97,7596.36,7306,7534.87,7408.530781,7623.336226,8016.989374,NaN,NaN,44.68147655,35.88353086,NaN,NaN
2019-12-06T21:00:00-03:00,7533.48,7621.48,7482.14,7496.7,7428.123941,7611.275633,7996.585869,NaN,NaN,43.92464022,37.16371239,NaN,NaN
2019-12-07T21:00:00-03:00,7496.05,7575.58,7387.46,7518.87,7448.289732,7602.475097,7977.851913,NaN,NaN,44.51253225,38.76409481,NaN,NaN
2019-12-08T21:00:00-03:00,7520.4,7649.33,7276.49,7339.49,7424.112014,7577.428897,7952.818113,NaN,NaN,40.78659162,39.66580722,NaN,NaN
2019-12-09T21:00:00-03:00,7339.47,7398.96,7162,7223.92,7379.624899,7543.761383,7924.233873,NaN,NaN,38.54782274,40.33875049,NaN,NaN
2019-12-10T21:00:00-03:00,7223.52,7266.12,7126.22,7194.36,7338.454922,7510.485061,7895.611368,NaN,NaN,37.97368175,40.2935091,NaN,NaN
2019-12-11T21:00:00-03:00,7195.48,7282.37,7073.38,7186.86,7304.767161,7479.663626,7867.817197,NaN,NaN,37.81976742,40.3399286,NaN,NaN
2019-12-12T21:00:00-03:00,7188.37,7292.8,7180,7248.97,7292.367792,7457.692805,7843.54868,NaN,NaN,39.9890292,40.02503379,NaN,NaN
2019-12-13T21:00:00-03:00,7249.51,7264,7006.46,7058.15,7240.319394,7419.641109,7812.748731,NaN,NaN,35.85087707,39.63904415,NaN,NaN
2019-12-14T21:00:00-03:00,7057.62,7195.47,7003.93,7110,7211.359529,7390.15148,7785.189958,NaN,NaN,37.73630541,39.5527996,NaN,NaN
